full_text	root_token	suffix	english_text
digital	digital		digital
Klavier; das,	das,		Piano; the
TV-Paket,	TV-Paket,		TV package,
7e	7e		7e
posten	posten		post
B Online einkaufen	einkaufen		B Shopping online
Selfie, das, -s	Selfie, das,	-s	Selfie, the -s
Auswahl, die; Sg:	Sg:		Selection, the; singular:
WLAN; das; Sg:	Sg:		WiFi; that; singular:
online-Shopping das, Sg:	Sg:		online shopping the singular:
herunter }laden	}laden		download
online-Kauf, der;	der;		online purchase, which;
steigen	steigen		rise
A	A		A
Die sozialen Netzwerke	Netzwerke		The social networks
Internet-Nutzer /in, der / die,	die,		Internet users who / the
Video, das, -s	Video, das,	-s	Video, the -s
/-nen	/-nen		/-nen
an{schauen	an{schauen		look at
an'geben	an'geben		To be given
Musik-CD , die, -s	Musik-CD , die,	-s	Music CD , the -s
Medienwelt. die, Sg:	Sg:		Media world. the singular:
elektronisch	elektronisch		Electronic
auf {wachsen	{wachsen		to growing
Haushaltsgerät, das, -e	Haushaltsgerät, das,	-e	Household appliance, the -e
nutzen	nutzen		use
Netz; das, (hier: Internet) Sg.	Sg.		Net; the (here: Internet) singular
Online-Ticket, das, -s	Online-Ticket, das,	-s	Online-Ticket, the -s
Alltag, der; Sg:	Sg:		Everyday life, the; singular:
ständig	ständig		continuous
Hotelzimmer; das,	das,		Hotel Rooms; the
Pflanze, die,	die,		Plant, the
~n	~n		~n
aus {tauschen (sich)	(sich)		from exchange(s))
Wirtschaft, die, Sg-	Sg-		Economy, the singular-
verändern	verändern		change
Bestellung; die, ~en	~en		Order; the ~en
kommunizieren	kommunizieren		communicate
bewerten	bewerten		Evaluate
dabei	dabei		where
Öffnungszeiten, PL.	PL.		Opening hours, plural
Videoportal, das, -e	Videoportal, das,	-e	Videoportal, the -e
Produkt, das, -e	Produkt, das,	-e	Product, the -e
Drittel, das,	das,		Third, the
Ware, die,	die,		Product(s)
-n		-n	-n
Gesprächsforum; das,	das,		Discussion Forum; the
foren	foren		foren
zurück{schicken	zurück{schicken		backSend back
Chat, der; -s	Chat, der;	-s	Chat that; -s
online sein	sein		be online
negativ	negativ		Negative
um{gehen (mit)	(mit)		(with)
an fassen	fassen		touch
knüpfen (hier: Kontakte knüpfen)	knüpfen)		forging (here: making contacts)
persönlich	persönlich		Personal
Freude; die, Sg:	Sg:		Joy; the singular:
unzufrieden	unzufrieden		Dissatisfied
Spiele-App; die,	die,		Games app; the
~S	~S		~S
online-Geschäft , das, -e	online-Geschäft , das,	-e	online business , the -e
selbstverständlich	selbstverständlich		Of course
Online-Anbieter; der;	der;		online providers; the;
aus{schalten	aus{schalten		Turn off
das,	das,		the
"""e"	"""e"		"""and"
süchtig	süchtig		addicted
positiv	positiv		Positive
