full_text;root_token;suffix;confidence
loschen;loschen;;0.68
"das Medium; Medien";Medien;;0.71
"der Koplhorer;";"Koplhorer;";;0.68
das F-Book, -s;das F-Book,;-s;0.53
chatten;chatten;;0.86
drucken;drucken;;0.99
spannend;spannend;;1.00
entspannend;entspannend;;1.00
ab {schicken;{schicken;;0.91
erreichbar sein;sein;;0.99
der Anhang;Anhang;;0.93
~e;~e;;0.92
A;A;;1.00
Rund ums Internet;Internet;;0.93
an {hängen;{hängen;;0.70
das Online-Spiel, -e;das Online-Spiel,;-e;0.75
die Hilfe,;Hilfe,;;0.83
~n;~n;;0.78
die Nachrichten, PL.;PL.;;0.56
"die Option; -en";"die Option;";-en;0.64
das E-Mail, -s;das E-Mail,;-s;0.93
das;das;;1.00
Adressbuch,;Adressbuch,;;0.93
~er;~er;;0.69
die E-Mails checken;checken;;0.85
der Posteingang;Posteingang;;0.81
denken;denken;;1.00
aus{wählen;aus{wählen;;0.64
häufig;häufig;;1.00
nützlich;nützlich;;0.99
"die Information;";"Information;";;0.74
C Fernsehen und Radio;Radio;;0.99
im Internet recherchieren;recherchieren;;0.98
das Fernsehen, Sg.;Sg.;;0.77
mobiles Internet;Internet;;1.00
die Sendung -en;die Sendung;-en;0.75
möglich;möglich;;1.00
laufen: das Radio läuft;läuft;;0.69
unkompliziert;unkompliziert;;0.98
"der Spielfilm; -e";"der Spielfilm;";-e;0.62
warum;warum;;1.00
weil;weil;;0.93
das Quiz, Sg.;Sg.;;0.85
der Dokumentarfilm, -e;der Dokumentarfilm,;-e;0.76
B;B;;1.00
Mit dem Computer arbeiten;arbeiten;;1.00
die Serie,;Serie,;;0.95
~n;~n;;0.81
der Internetzugang,;Internetzugang,;;0.64
~e;~e;;0.40
die Talkshow, -s;die Talkshow,;-s;0.77
"die Software; Sg.";Sg.;;0.52
international;international;;0.89
die App, -s;die App,;-s;0.46
der Krimi, -s;der Krimi,;-s;0.93
soziale Netzwerke;Netzwerke;;1.00
die Werbung, ~en;~en;;0.50
die Datei, ~en;~en;;0.72
die Internetseite,;Internetseite,;;0.99
n;n;;0.94
das E-Mail-Programm, -e;das E-Mail-Programm,;-e;0.82
die Verkehrsmeldung ~en;~en;;0.69
speichern;speichern;;1.00
der Wetterbericht,;Wetterbericht,;;0.77
e;e;;0.99
@lfnen;@lfnen;;0.59
schließen;schließen;;1.00
beenden;beenden;;0.98
senden;senden;;1.00
"""e";"""e";;1.00
~en;~en;;0.89
